Values,NGO,United Kingdom of Great Britain and Northern Ireland,Role of Business,Values key here.,Next Generation,Values of the next generation will determine the future.,Ecosystems & Biodiversity,Our actions on this will depend on how much we take a bio-centric view rather than anthro-centric.,Future of Government,,Poverty & Economic Development,,China,,North America,,Europe & Central Asia,,Banking & Capital Markets,,Consumer,,Public & Institutional Investors,
Middle East & North Africa,Government,United Arab Emirates,Education,Education reform in the MENA region is required to reduce the increasing unemplyment rate,Competitiveness,"Need to accelerate economic growth in critical countries in the MENA region through foreign investment for security, stability and sustainability",Women’s Empowerment,Potential  development areas to maximise the contribution of the other 50% of society to the economic growth of the region,Poverty & Economic Development,Very relevant to a number of countries in the MENA region for security and stability,Water Security,Is becoming a serious issue in the MENA region,North America,.Strong links with North America,China,Growing role in the MENA region and Africa,Europe & Central Asia,"Strong ties with MENA, particularly NA.",Banking & Capital Markets,Private investment. Contribute to economic growth through PPP mechanism.,Real Estate,Growing population in the region,"Aviation, Travel & Tourism",Area of  further development in the region
India,Other,India,Anti-Corruption,The biggest rot in India is the enormous drain on resources due to corruption at the highest levels of COrporate and Political life. This also means that aid meant for 70% of India does nt get to them,Social Innovation,India needs a complete revolution in justice and economic delivery systems and solutions. Tailor made to India.,Women’s Empowerment,Each experiment with bringing up families that have involved women as the change agent have worked and worked fast. This is the group on whom to concentrate,Institutional Governance Systems,There is no governance in India only politics. We will never get out of the quagmire unless this changes,Human Rights,The justice system's sluggishness and the lack of political action to safeguard human rights is what is leading to terrorism and widespread violence,Africa,There are huge opportunities for exchange as the similarities are great but India is many steps ahead and can share successful models.,Latin America,LAtin AMerica is more developed in certain key factors and we are insome. Trade and exchange of ideas and technology especially grass root innovations would be beneficial to both,South-East Asia,We have always neglected these neighbours and together can forge alliances of similar minded peoples,Health,Ill health is the single biggest factor in putting a poor family back by a decade. Inexpensive and universal healthcare would make a huge difference,Insurance & Asset Management,"The lack of health and other insurance at affordable rates makes our poor, 50% of the total population very vulnerable. A specific pro poor insurance needs to be worked out and offered","Media, Entertainment & Information","Media has played a huge negative role in defining our aspirations. It needs to be used to empower, give voice to and give a feeling of rights to our people"
South-East Asia,Government,Singapore,Trade,,Competitiveness,,Food Security,,Energy Security,,Future of Government,,China,,Japan,,North America,,Banking & Capital Markets,,Logistics & Supply Chain,,"Aviation, Travel & Tourism",
Insurance & Asset Management,Business,United Kingdom of Great Britain and Northern Ireland,Ageing,"ageing and responses to pension, medical and nursing care for aging populations will drive the demand and create the environmet for growth of insurance and asset management; finding the right mix of public and private responses to these needs is critical to the industry and also the fiscal health of governments",Catastrophic Risks,obvious links to insurance,Climate Change,both from the standpoint of risk management and also from the standpoint of new financial prodiucts and services to foster low carbon innovations and to support the development of carbon markets and carbon-finance,Systemic Financial Risk,"while systemic risk is a banking issue, there are linkages with asset management and insurance that should be informed",International Legal System,the regulation of cross-border financial services and maintaining a level playing field for foreign financial services firms are a product of the international trade and investment regimes---I am not sure whether this subject is covered in this task force or in the trade task force??,China,,South-East Asia,,Japan,,Insurance & Asset Management,,Health,,Telecom,
Japan,Other,Japan,Values,,Innovation,,Ageing,,Education,,Social Innovation,,North America,,China,,South-East Asia,,Renewable Energy,,Telecom,,"Media, Entertainment & Information",
Future of Government,NGO,Russian Federation,Institutional Governance Systems,,Competitiveness,,Innovation,,Informed Societies,,Benchmarking Progress,,North America,,Europe & Central Asia,,South-East Asia,,"Media, Entertainment & Information",,Public & Institutional Investors,,Telecom,
Design,Business,Japan,Innovation,,Energy Security,,Values,,Skills & Talent Mobility,,Intellectual Property System,,China,,India,,South-East Asia,,Automotive,,Renewable Energy,,"Media, Entertainment & Information",
Insurance & Asset Management,Business,United States of America,Systemic Financial Risk,The essence of Dodd-Frank is designation of systemicaly risky companies and the assessment of large financial companies to pay for TBTF.,Catastrophic Risks,Identification and quantification of cat risk is essential to property and casualty insurance risk assumption....avoiding public financing options is essential to proper functioning of private insurance market,Terrorism,"Unlike natural cat risk, building appropriate private-public collaborative fof inancing vehicles to deal with uninsurability of terror risk is essential to proper functioning of P&C insurance.",Trade,Open markets is an unrealized goal of the finacial service sector...bi-lateral trade agreements are a means to perpetuate open markets,Geopolitical Risk,"As an incresing inernational insurance firm, the risk of political instability is a significant concern",China,Open access to the potentially largest insurance market is significant part of global strategy,Latin America,So close...yet so far in terms of political stability and appreciation for private capital,Europe & Central Asia,Trends in insurance and financial services regulation are increasingly initiated in Europe,Banking & Capital Markets,,Health,,Consumer,
Water Security,Other,India,Water Security,,Energy Security,,Terrorism,,Anti-Corruption,,Geopolitical Risk,,Africa,,China,,Middle East & North Africa,,Renewable Energy,,Private Fund Managers,,Banking & Capital Markets,
Competitiveness,Business,United States of America,Innovation,"Innovation is a key driver of economic growth for both advanced and emerging economies and caused the breakout to higher living standards from 1800 onwards. If innovation falters, so will prosperity but innovation has now achieved critical mass so I do not percieve his as a major risk.",Education,"Investment in human resources has proven key in the 20 or so national competitiveness initiatives in which we have been involved. Historically it has been highly correlated with competitiveness and economic growth. Lack of investment in education threatens competitiveness in places as diverse as Pakistan, Egypt, and Congo.",Institutional Governance Systems,Institutional constraints impede competitiveness whereas improved institutional governance creates the appropriate business environment for competitiveness. Institutions are absolutely key to implementing a national competitiveness (economic growth) strategy.,Poverty & Economic Development,The whole focus of our work on competitiveness is to achieve sustainable economic development and rapid reduction in poverty.  My own focus is on competitiveness initiatives in emerging economies so this is VERY relevant.,Employment & Social Protection,Workforce development and labor market issues are also very key to competitiveness.  Competitiveness also drives better labor markets and investment in people.,Middle East & North Africa,"We have been engaged direcly in competitiveness initiatives in Egypt, Jordan, Saudi Arabia, Morocco and Libya and this region has become very engaged with competitiveness.",Europe & Central Asia,Competitiveness is a priority in the EU and Central Asia has become more interested of late.,China,China's economic strategy has become a key driver of economic growth and China is also taking a focused approach to building its long term competitiveness. We could learn a lot from what they are doing and how they are doing it.,Renewable Energy,This transition will be key to competitiveness and affect the competitiveness of all other industries.,Banking & Capital Markets,It is hard to say where one industry is more interlinked with competitiveness than another but banking and capital markets affect all other industries via the cost of capital.,"Aviation, Travel & Tourism","There is generally a tourism industry in every country, the industry is growing quickly, it represents about 10% of global GDP and creates jobs--it is relevant to just about every national competitiveness initiative I've seen (about 20)"
Public & Institutional Investors,Business,Australia,Geopolitical Risk,Obvious potential direct impact on (long term ) investment,Systemic Financial Risk,Will distort investment decision making,Climate Change,New and unpredictable influences on economies...,International Legal System,,,,China,,North America,,South-East Asia,,Banking & Capital Markets,,Insurance & Asset Management,,Private Fund Managers,
"Aviation, Travel & Tourism",Business,United States of America,Geopolitical Risk,,Role of Business,,Next Generation,,Terrorism,,Climate Change,,China,,India,,Middle East & North Africa,,Consumer,,"Media, Entertainment & Information",,Logistics & Supply Chain,
Chronic Diseases & Well-being,International Organization,Barbados,Poverty & Economic Development,The interelationship of poverty with chronic diseases is becoming clearer,Women’s Empowerment,,Ageing,,Food Security,,Urbanization,,China,,India,,Latin America,,Health,,"Media, Entertainment & Information",,Consumer,
Telecom,International Organization,United Kingdom of Great Britain and Northern Ireland,Poverty & Economic Development,Mobile telecoms is helping reduce poverty through job creation and information exchange,Women’s Empowerment,Mobile is a tool for self-empowerment and we know we have a gender gap in isage today that needs addressing,Chronic Diseases & Well-being,mHealth potential,Education,"mLearning as a global opportunity, currently under-exploited",Human Rights,Role of mobile in reporting human rights abuses,Africa,Biggest growth market for mobile phones,South-East Asia,Biggest gender gap in mobile phone ownership found here,China,Innovation in technology and slashing of prices by Chinese telco vendors,Consumer,Interesting parallels between mobile telecoms and FMCG business,Renewable Energy,RE is key to resolving the problems of connecting the rural poor,"Media, Entertainment & Information",Potential of apps for mobiles
